Odometer_Label,Location_Label,Asset,Date,Time,Odometer,Status,Location
Odometer (km),Location,RCLU22067,01/17/2025,09:58 AM,138101.8 km,63.3 (km/h) W,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU21064,01/17/2025,09:58 AM,246933.6 km,48.9 (km/h) E,"932 East Bay, Regina, Regina, SK, S4N 6W6"
Odometer (km),Location,RCLU22069,01/17/2025,09:58 AM,186700.5 km,91.5 (km/h) W,"10487 Hwy-43, Woodlands County, AB, T0E"
Odometer (km),Location,RCLU22103,01/17/2025,09:58 AM,145105.7 km,15.0 (km/h) W,"70 St SE, Calgary, AB, T2Z"
Odometer (km),Location,RCLU22075,01/17/2025,09:58 AM,195082.5 km,62.0 (km/h) SE,"Courville Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU18016,01/17/2025,09:58 AM,721216.3 km,94.0 (km/h) NE,"11001 Levere Road, Mountain, North Dundas, ON, K0E 1S0"
Odometer (km),Location,RCLU24090,01/17/2025,09:58 AM,99530.9 km,62.0 (km/h) SE,"Hwy-1A, Rocky View No 44, AB, T0M"
Odometer (km),Location,RCLU24564,01/17/2025,09:58 AM,30417.1 km,79.8 (km/h) E,"162 Ontario 17, Balmertown, Kenora, Unorganized, ON, P0V"
Odometer (km),Location,RCLU22054,01/17/2025,09:58 AM,62406.2 km,48.3 (km/h) SE,"Hwy-1 / Trans Canada Hwy, Thompson-Nicola, BC, V0K"
Odometer (km),Location,RCLU21054,01/17/2025,09:58 AM,274547.8 km,48.9 (km/h) E,"2838 Hartmann Crescent, Regina, Regina, SK, S4N 6L9"
Odometer (km),Location,RCLU22053,01/17/2025,09:58 AM,187566.5 km,38.9 (km/h) SE,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU21022,01/17/2025,09:58 AM,194158.6 km,63.3 (km/h) W,"Unnamed Road, Sudbury, Unorganized, North Part, Sudbury, Unorganized, North Part, ON, P0M"
Odometer (km),Location,RCLU24595,01/17/2025,09:58 AM,20777.3 km,37.4 (km/h) SW,"2131 Morningside Avenue, Scarborough, Toronto, ON, M1X 2E5"
Odometer (km),Location,RCLU16085,01/17/2025,09:58 AM,273411.1 km,61.9 (km/h) SE,"Bow Valley Trail, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU16075,01/17/2025,09:58 AM,966832.6 km,17.4 (km/h) S,"Lachine:Fre, Montreal, QC, H8S"
Odometer (km),Location,RCLU24604,01/17/2025,09:58 AM,38983.4 km,62.4 (km/h) SE,"Courville Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU24585,01/17/2025,09:58 AM,29747.0 km,11.5 (km/h) W,"7193 112 Ave SE, Calgary, AB, T2C"
Odometer (km),Location,RC94841,01/17/2025,09:58 AM,703732.0 km,25.9 (km/h) E,"Trans-Canada Highway, Columbia-Shuswap A, Columbia-Shuswap A, BC, V0E"
Odometer (km),Location,RCLU24586,01/17/2025,09:58 AM,36323.9 km,62.6 (km/h) SE,"Courville Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU22091,01/17/2025,09:57 AM,134783.4 km,62.2 (km/h) SE,"Courville Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,175069RX,01/17/2025,09:57 AM,228303.0 km,93.3 (km/h) S,"Coquihalla Hwy//S / Hwy-5, Thompson-Nicola, BC, V0K"
Odometer (km),Location,RC94835,01/17/2025,09:57 AM,57548.9 km,63.5 (km/h) W,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU16079,01/17/2025,09:57 AM,666299.6 km,60.0 (km/h) SE,"255 Ontario 17, Gurney, Unorganized Thunder Bay District, ON, P0T"
Odometer (km),Location,RCLU21046,01/17/2025,09:57 AM,278942.6 km,63.9 (km/h) W,"Sudbury District, ON, P0M"
Odometer (km),Location,RC94871,01/17/2025,09:57 AM,844104.2 km,60.2 (km/h) SE,"Thunder Bay District, ON, P0T"
Odometer (km),Location,RCLU24073,01/17/2025,09:57 AM,119997.0 km,38.5 (km/h) SW,"2131 Morningside Avenue, Scarborough, Toronto, ON, M1X 2E5"
Odometer (km),Location,RCLU16004,01/17/2025,09:57 AM,758839.0 km,59.5 (km/h) NE,"255 Highway 17, Gurney, Unorganized Thunder Bay District, ON, P0T"
Odometer (km),Location,375066RX,01/17/2025,09:57 AM,148452.5 km,105.0 (km/h) SW,"Hwy-401, Trenton, Quinte West, ON, K8V"
Odometer (km),Location,RCLU16096,01/17/2025,09:57 AM,1007742.6 km,63.0 (km/h) N,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU24523,01/17/2025,09:57 AM,26680.8 km,43.2 (km/h) E,"Hays Lake Road, Schreiber, Terrace Bay, ON, P0T"
Odometer (km),Location,RCLU22018,01/17/2025,09:57 AM,58161.8 km,43.5 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RCLU22082,01/17/2025,09:57 AM,114451.1 km,38.7 (km/h) SW,"2131 Morningside Avenue, Scarborough, Toronto, ON, M1X 2E5"
Odometer (km),Location,RCLU22011,01/17/2025,09:57 AM,231437.2 km,45.0 (km/h) NW,"Hwy-1 / Trans Canada Hwy//E, Martin No 122, SK, S0G"
Odometer (km),Location,RCLU24009,01/17/2025,09:57 AM,93263.0 km,61.9 (km/h) SE,"Hwy-1A, Rocky View No 44, AB, T0M"
Odometer (km),Location,RCLU22045,01/17/2025,09:57 AM,184921.0 km,47.8 (km/h) S,"Hwy-1 / Trans Canada Hwy, Thompson-Nicola, BC, V0K"
Odometer (km),Location,RCLU22058,01/17/2025,09:57 AM,190169.2 km,39.4 (km/h) SE,"Sudbury, Unorganized, North Part, Sudbury, Unorganized, North Part, ON, P0M"
Odometer (km),Location,RCLU22071,01/17/2025,09:57 AM,101386.1 km,24.1 (km/h) W,"268 Old Ellwood Drive, Caledon, Caledon, ON, L7E 4W4"
Odometer (km),Location,RCLU22015,01/17/2025,09:57 AM,190101.7 km,43.5 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU21043,01/17/2025,09:57 AM,257728.5 km,43.7 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RCLU22059,01/17/2025,09:57 AM,209586.6 km,63.5 (km/h) W,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU16021,01/17/2025,09:57 AM,269073.2 km,17.0 (km/h) E,"2613 190 St, Surrey, BC, V3S"
Odometer (km),Location,RC94821,01/17/2025,09:57 AM,226490.2 km,62.2 (km/h) E,"Bow Valley Trail, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU16083,01/17/2025,09:57 AM,730620.5 km,83.8 (km/h) NW,"Railway Avenue East, Brooks, Brooks, AB, T1R 1E5"
Odometer (km),Location,RCLU24519,01/17/2025,09:57 AM,51168.3 km,63.0 (km/h) SE,"Courville Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU16009,01/17/2025,09:57 AM,2039.0 km,43.5 (km/h) W,"Road 2W, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU22106,01/17/2025,09:57 AM,94228.1 km,62.0 (km/h) SE,"Hwy-1A, Rocky View No 44, AB, T0M"
Odometer (km),Location,RCLU21030,01/17/2025,09:57 AM,252383.0 km,53.5 (km/h) N,"Marathon, ON, P0T"
Odometer (km),Location,RCLU21025,01/17/2025,09:57 AM,205445.9 km,43.5 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RC94840,01/17/2025,09:57 AM,674506.4 km,47.4 (km/h) SE,"Hwy-1 / Trans Canada Hwy, Thompson-Nicola, BC, V0K"
Odometer (km),Location,RCLU18015,01/17/2025,09:57 AM,226043.3 km,43.7 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU18011,01/17/2025,09:57 AM,89681.3 km,51.9 (km/h) S,"1779 Stone Church Road East, Hamilton, Hamilton, ON, L8J 0B4"
Odometer (km),Location,RCLU22063,01/17/2025,09:57 AM,165280.4 km,49.8 (km/h) E,"3027 Fuller Place, Regina, Regina, SK, S4N 6W7"
Odometer (km),Location,RCLU21066,01/17/2025,09:57 AM,283700.5 km,43.5 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU22065,01/17/2025,09:57 AM,182316.7 km,96.7 (km/h) W,"Macdonald-Cartier Freeway, Milton, Milton, ON, L9T 6C8"
Odometer (km),Location,RC94866,01/17/2025,09:57 AM,583733.7 km,42.7 (km/h) E,"Hays Lake Road, Schreiber, Terrace Bay, ON, P0T"
Odometer (km),Location,RCLU24565,01/17/2025,09:57 AM,36314.8 km,47.2 (km/h) SE,"Hwy-1 / Trans Canada Hwy, Thompson-Nicola, BC, V0K"
Odometer (km),Location,RCLU22038,01/17/2025,09:57 AM,203257.3 km,43.9 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RCLU21027,01/17/2025,09:57 AM,194304.7 km,80.7 (km/h) E,"Kenora District, ON, P0T"
Odometer (km),Location,RCLU21014,01/17/2025,09:57 AM,320883.6 km,44.4 (km/h) NW,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU16036,01/17/2025,09:57 AM,740341.6 km,63.1 (km/h) NW,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU24091,01/17/2025,09:57 AM,113890.5 km,22.8 (km/h) W,"244 Ellwood Drive West, Caledon, Caledon, ON, L7E 4W4"
Odometer (km),Location,RCLU24088,01/17/2025,09:57 AM,92948.5 km,81.1 (km/h) E,"56 Ontario 17, Balmertown, Kenora, Unorganized, ON, P0V"
Odometer (km),Location,RCLU24078,01/17/2025,09:57 AM,102522.1 km,63.0 (km/h) NW,"Sudbury District, ON, P0M"
Odometer (km),Location,RC94820,01/17/2025,09:57 AM,564555.3 km,41.5 (km/h) E,"Hays Lake Rd, Terrace Bay, ON, P0T"
Odometer (km),Location,RCLU16087,01/17/2025,09:57 AM,761469.8 km,62.4 (km/h) E,"Bow Valley Trail, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU22080,01/17/2025,09:57 AM,147888.9 km,62.6 (km/h) NW,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU16026,01/17/2025,09:57 AM,334191.2 km,60.0 (km/h) S,"255 Highway 17, Gurney, Unorganized Thunder Bay District, ON, P0T"
Odometer (km),Location,RCLU24539,01/17/2025,09:57 AM,48060.0 km,86.1 (km/h) NW,"Railway Avenue East, Brooks, Brooks, AB, T1R 1E5"
Odometer (km),Location,RCLU16027,01/17/2025,09:57 AM,715013.9 km,81.5 (km/h) E,"56 Ontario 17, Balmertown, Kenora, Unorganized, ON, P0V"
Odometer (km),Location,RC94887,01/17/2025,09:57 AM,759738.3 km,82.1 (km/h) E,"Kenora District, ON, P0T"
Odometer (km),Location,RC94800,01/17/2025,09:57 AM,68217.6 km,60.9 (km/h) SE,"Hwy-17 / Trans Canada Hwy, Thunder Bay District, ON, P0T"
Odometer (km),Location,RCLU16064,01/17/2025,09:57 AM,759953.6 km,60.9 (km/h) SE,"Hwy-17 / Trans Canada Hwy, Thunder Bay District, ON, P0T"
